county,count,total_or_evic,judgement_year
Aitkin,0,evics,2009
Aitkin,0,evics,2010
Aitkin,0,evics,2011
Aitkin,0,evics,2012
Aitkin,0,evics,2013
Aitkin,0,evics,2014
Aitkin,0,evics,2015
Aitkin,0,evics,2016
Aitkin,0,evics,2017
Aitkin,0,evics,2018
Aitkin,0,evics,2019
Anoka,0,evics,2009
Anoka,0,evics,2010
Anoka,0,evics,2011
Anoka,0,evics,2012
Anoka,0,evics,2013
Anoka,0,evics,2014
Anoka,0,evics,2015
Anoka,0,evics,2016
Anoka,0,evics,2017
Anoka,0,evics,2018
Anoka,0,evics,2019
Becker,0,evics,2009
Becker,0,evics,2010
Becker,0,evics,2011
Becker,0,evics,2012
Becker,0,evics,2013
Becker,0,evics,2014
Becker,0,evics,2015
Becker,0,evics,2016
Becker,0,evics,2017
Becker,0,evics,2018
Becker,0,evics,2019
Beltrami,0,evics,2009
Beltrami,0,evics,2010
Beltrami,0,evics,2011
Beltrami,0,evics,2012
Beltrami,0,evics,2013
Beltrami,0,evics,2014
Beltrami,0,evics,2015
Beltrami,0,evics,2016
Beltrami,0,evics,2017
Beltrami,0,evics,2018
Beltrami,0,evics,2019
Benton,0,evics,2009
Benton,0,evics,2010
Benton,0,evics,2011
Benton,0,evics,2012
Benton,0,evics,2013
Benton,0,evics,2014
Benton,0,evics,2015
Benton,0,evics,2016
Benton,0,evics,2017
Benton,0,evics,2018
Benton,0,evics,2019
Big Stone,0,evics,2009
Big Stone,0,evics,2010
Big Stone,0,evics,2011
Big Stone,0,evics,2012
Big Stone,0,evics,2013
Big Stone,0,evics,2014
Big Stone,0,evics,2015
Big Stone,0,evics,2016
Big Stone,0,evics,2017
Big Stone,0,evics,2018
Big Stone,0,evics,2019
Blue Earth,0,evics,2009
Blue Earth,0,evics,2010
Blue Earth,0,evics,2011
Blue Earth,0,evics,2012
Blue Earth,0,evics,2013
Blue Earth,0,evics,2014
Blue Earth,0,evics,2015
Blue Earth,0,evics,2016
Blue Earth,0,evics,2017
Blue Earth,0,evics,2018
Blue Earth,0,evics,2019
Brown,0,evics,2009
Brown,0,evics,2010
Brown,0,evics,2011
Brown,0,evics,2012
Brown,0,evics,2013
Brown,0,evics,2014
Brown,0,evics,2015
Brown,0,evics,2016
Brown,0,evics,2017
Brown,0,evics,2018
Brown,0,evics,2019
Carlton,0,evics,2009
Carlton,0,evics,2010
Carlton,0,evics,2011
Carlton,0,evics,2012
Carlton,0,evics,2013
Carlton,0,evics,2014
Carlton,0,evics,2015
Carlton,0,evics,2016
Carlton,0,evics,2017
Carlton,0,evics,2018
Carlton,0,evics,2019
Carver,0,evics,2009
Carver,0,evics,2010
Carver,0,evics,2011
Carver,0,evics,2012
Carver,0,evics,2013
Carver,0,evics,2014
Carver,0,evics,2015
Carver,0,evics,2016
Carver,0,evics,2017
Carver,0,evics,2018
Carver,0,evics,2019
Cass,0,evics,2009
Cass,0,evics,2010
Cass,0,evics,2011
Cass,0,evics,2012
Cass,0,evics,2013
Cass,0,evics,2014
Cass,0,evics,2015
Cass,0,evics,2016
Cass,0,evics,2017
Cass,0,evics,2018
Cass,0,evics,2019
Chippewa,0,evics,2009
Chippewa,0,evics,2010
Chippewa,0,evics,2011
Chippewa,0,evics,2012
Chippewa,0,evics,2013
Chippewa,0,evics,2014
Chippewa,0,evics,2015
Chippewa,0,evics,2016
Chippewa,0,evics,2017
Chippewa,0,evics,2018
Chippewa,0,evics,2019
Chisago,0,evics,2009
Chisago,0,evics,2010
Chisago,0,evics,2011
Chisago,0,evics,2012
Chisago,0,evics,2013
Chisago,0,evics,2014
Chisago,0,evics,2015
Chisago,0,evics,2016
Chisago,0,evics,2017
Chisago,0,evics,2018
Chisago,0,evics,2019
Clay,0,evics,2009
Clay,0,evics,2010
Clay,0,evics,2011
Clay,0,evics,2012
Clay,0,evics,2013
Clay,0,evics,2014
Clay,0,evics,2015
Clay,0,evics,2016
Clay,0,evics,2017
Clay,0,evics,2018
Clay,0,evics,2019
Clearwater,0,evics,2009
Clearwater,0,evics,2010
Clearwater,0,evics,2011
Clearwater,0,evics,2012
Clearwater,0,evics,2013
Clearwater,0,evics,2014
Clearwater,0,evics,2015
Clearwater,0,evics,2016
Clearwater,0,evics,2017
Clearwater,0,evics,2018
Clearwater,0,evics,2019
Cook,0,evics,2009
Cook,0,evics,2010
Cook,0,evics,2011
Cook,0,evics,2012
Cook,0,evics,2013
Cook,0,evics,2014
Cook,0,evics,2015
Cook,0,evics,2016
Cook,0,evics,2017
Cook,0,evics,2018
Cook,0,evics,2019
Cottonwood,0,evics,2009
Cottonwood,0,evics,2010
Cottonwood,0,evics,2011
Cottonwood,0,evics,2012
Cottonwood,0,evics,2013
Cottonwood,0,evics,2014
Cottonwood,0,evics,2015
Cottonwood,0,evics,2016
Cottonwood,0,evics,2017
Cottonwood,0,evics,2018
Cottonwood,0,evics,2019
Crow Wing,0,evics,2009
Crow Wing,0,evics,2010
Crow Wing,0,evics,2011
Crow Wing,0,evics,2012
Crow Wing,0,evics,2013
Crow Wing,0,evics,2014
Crow Wing,0,evics,2015
Crow Wing,0,evics,2016
Crow Wing,0,evics,2017
Crow Wing,0,evics,2018
Crow Wing,0,evics,2019
Dakota,0,evics,2009
Dakota,0,evics,2010
Dakota,0,evics,2011
Dakota,0,evics,2012
Dakota,0,evics,2013
Dakota,0,evics,2014
Dakota,0,evics,2015
Dakota,0,evics,2016
Dakota,0,evics,2017
Dakota,0,evics,2018
Dakota,0,evics,2019
Dodge,0,evics,2009
Dodge,0,evics,2010
Dodge,0,evics,2011
Dodge,0,evics,2012
Dodge,0,evics,2013
Dodge,0,evics,2014
Dodge,0,evics,2015
Dodge,0,evics,2016
Dodge,0,evics,2017
Dodge,0,evics,2018
Dodge,0,evics,2019
Douglas,0,evics,2009
Douglas,0,evics,2010
Douglas,0,evics,2011
Douglas,0,evics,2012
Douglas,0,evics,2013
Douglas,0,evics,2014
Douglas,0,evics,2015
Douglas,0,evics,2016
Douglas,0,evics,2017
Douglas,0,evics,2018
Douglas,0,evics,2019
Faribault,0,evics,2009
Faribault,0,evics,2010
Faribault,0,evics,2011
Faribault,0,evics,2012
Faribault,0,evics,2013
Faribault,0,evics,2014
Faribault,0,evics,2015
Faribault,0,evics,2016
Faribault,0,evics,2017
Faribault,0,evics,2018
Faribault,0,evics,2019
Fillmore,0,evics,2009
Fillmore,0,evics,2010
Fillmore,0,evics,2011
Fillmore,0,evics,2012
Fillmore,0,evics,2013
Fillmore,0,evics,2014
Fillmore,0,evics,2015
Fillmore,0,evics,2016
Fillmore,0,evics,2017
Fillmore,0,evics,2018
Fillmore,0,evics,2019
Freeborn,0,evics,2009
Freeborn,0,evics,2010
Freeborn,0,evics,2011
Freeborn,0,evics,2012
Freeborn,0,evics,2013
Freeborn,0,evics,2014
Freeborn,0,evics,2015
Freeborn,0,evics,2016
Freeborn,0,evics,2017
Freeborn,0,evics,2018
Freeborn,0,evics,2019
Goodhue,0,evics,2009
Goodhue,0,evics,2010
Goodhue,0,evics,2011
Goodhue,0,evics,2012
Goodhue,0,evics,2013
Goodhue,0,evics,2014
Goodhue,0,evics,2015
Goodhue,0,evics,2016
Goodhue,0,evics,2017
Goodhue,0,evics,2018
Goodhue,0,evics,2019
Grant,0,evics,2009
Grant,0,evics,2010
Grant,0,evics,2011
Grant,0,evics,2012
Grant,0,evics,2013
Grant,0,evics,2014
Grant,0,evics,2015
Grant,0,evics,2016
Grant,0,evics,2017
Grant,0,evics,2018
Grant,0,evics,2019
Hennepin,0,evics,2009
Hennepin,0,evics,2010
Hennepin,0,evics,2011
Hennepin,0,evics,2012
Hennepin,0,evics,2013
Hennepin,0,evics,2014
Hennepin,0,evics,2015
Hennepin,0,evics,2016
Hennepin,0,evics,2017
Hennepin,0,evics,2018
Hennepin,0,evics,2019
Houston,0,evics,2009
Houston,0,evics,2010
Houston,0,evics,2011
Houston,0,evics,2012
Houston,0,evics,2013
Houston,0,evics,2014
Houston,0,evics,2015
Houston,0,evics,2016
Houston,0,evics,2017
Houston,0,evics,2018
Houston,0,evics,2019
Hubbard,0,evics,2009
Hubbard,0,evics,2010
Hubbard,0,evics,2011
Hubbard,0,evics,2012
Hubbard,0,evics,2013
Hubbard,0,evics,2014
Hubbard,0,evics,2015
Hubbard,0,evics,2016
Hubbard,0,evics,2017
Hubbard,0,evics,2018
Hubbard,0,evics,2019
Isanti,0,evics,2009
Isanti,0,evics,2010
Isanti,0,evics,2011
Isanti,0,evics,2012
Isanti,0,evics,2013
Isanti,0,evics,2014
Isanti,0,evics,2015
Isanti,0,evics,2016
Isanti,0,evics,2017
Isanti,0,evics,2018
Isanti,0,evics,2019
Itasca,0,evics,2009
Itasca,0,evics,2010
Itasca,0,evics,2011
Itasca,0,evics,2012
Itasca,0,evics,2013
Itasca,0,evics,2014
Itasca,0,evics,2015
Itasca,0,evics,2016
Itasca,0,evics,2017
Itasca,0,evics,2018
Itasca,0,evics,2019
Jackson,0,evics,2009
Jackson,0,evics,2010
Jackson,0,evics,2011
Jackson,0,evics,2012
Jackson,0,evics,2013
Jackson,0,evics,2014
Jackson,0,evics,2015
Jackson,0,evics,2016
Jackson,0,evics,2017
Jackson,0,evics,2018
Jackson,0,evics,2019
Kanabec,0,evics,2009
Kanabec,0,evics,2010
Kanabec,0,evics,2011
Kanabec,0,evics,2012
Kanabec,0,evics,2013
Kanabec,0,evics,2014
Kanabec,0,evics,2015
Kanabec,0,evics,2016
Kanabec,0,evics,2017
Kanabec,0,evics,2018
Kanabec,0,evics,2019
Kandiyohi,0,evics,2009
Kandiyohi,0,evics,2010
Kandiyohi,0,evics,2011
Kandiyohi,0,evics,2012
Kandiyohi,0,evics,2013
Kandiyohi,0,evics,2014
Kandiyohi,0,evics,2015
Kandiyohi,0,evics,2016
Kandiyohi,0,evics,2017
Kandiyohi,0,evics,2018
Kandiyohi,0,evics,2019
Kittson,0,evics,2009
Kittson,0,evics,2010
Kittson,0,evics,2011
Kittson,0,evics,2012
Kittson,0,evics,2013
Kittson,0,evics,2014
Kittson,0,evics,2015
Kittson,0,evics,2016
Kittson,0,evics,2017
Kittson,0,evics,2018
Kittson,0,evics,2019
Koochiching,0,evics,2009
Koochiching,0,evics,2010
Koochiching,0,evics,2011
Koochiching,0,evics,2012
Koochiching,0,evics,2013
Koochiching,0,evics,2014
Koochiching,0,evics,2015
Koochiching,0,evics,2016
Koochiching,0,evics,2017
Koochiching,0,evics,2018
Koochiching,0,evics,2019
Lac Qui Parle,0,evics,2009
Lac Qui Parle,0,evics,2010
Lac Qui Parle,0,evics,2011
Lac Qui Parle,0,evics,2012
Lac Qui Parle,0,evics,2013
Lac Qui Parle,0,evics,2014
Lac Qui Parle,0,evics,2015
Lac Qui Parle,0,evics,2016
Lac Qui Parle,0,evics,2017
Lac Qui Parle,0,evics,2018
Lac Qui Parle,0,evics,2019
Lake,0,evics,2009
Lake,0,evics,2010
Lake,0,evics,2011
Lake,0,evics,2012
Lake,0,evics,2013
Lake,0,evics,2014
Lake,0,evics,2015
Lake,0,evics,2016
Lake,0,evics,2017
Lake,0,evics,2018
Lake,0,evics,2019
Lake Of The Wood,0,evics,2009
Lake Of The Wood,0,evics,2010
Lake Of The Wood,0,evics,2011
Lake Of The Wood,0,evics,2012
Lake Of The Wood,0,evics,2013
Lake Of The Wood,0,evics,2014
Lake Of The Wood,0,evics,2015
Lake Of The Wood,0,evics,2016
Lake Of The Wood,0,evics,2017
Lake Of The Wood,0,evics,2018
Lake Of The Wood,0,evics,2019
Le Sueur,0,evics,2009
Le Sueur,0,evics,2010
Le Sueur,0,evics,2011
Le Sueur,0,evics,2012
