tier,mpls_owner,licensed_un,POPTOTAL,LIVEDALONE,WHITENH,BLACKNH,AMINDNH,ASIANNH,HISPPOP,HOMEOWNPCT,OWNEROCC,RENTEROCC,VACANT,MEDIANAGE,emv_total,year_built,homestead,eviction
1,1,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,2.60E+05,1979,0,0
1,1,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,3.67E+05,1960,1,0
1,0,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,214500,1950,1,0
1,0,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,180500,1952,0,0
1,0,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,2.48E+05,1955,0,0
1,0,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,183500,1954,0,0
1,0,2,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,300500,1961,0,0
1,1,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,284500,1957,1,0
1,1,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,424500,1947,1,0
1,0,2,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,2.49E+05,1959,0,0
1,0,2,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,3.36E+05,1960,0,0
1,1,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,3.18E+05,1958,0,0
1,1,2,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,3.30E+05,1957,0,0
1,0,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,216500,1951,0,0
1,1,2,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,335500,1960,1,0
1,1,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,2.38E+05,1947,0,0
1,1,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,234500,1947,1,0
1,0,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,214500,1948,0,0
1,0,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,3.98E+05,1942,0,0
1,0,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,244500,1950,0,0
1,0,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,291500,1955,1,0
1,1,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,284500,1947,0,0
1,0,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,295500,1927,1,0
1,0,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,2.30E+05,1953,1,0
1,0,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,229500,1951,1,0
1,1,2,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,324500,1960,0,0
1,1,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,2.32E+05,1961,1,0
1,1,36,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,3507500,1974,0,0
1,1,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,2.95E+05,1961,1,0
2,1,1,5732,768,4761,374,24,184,232,0.862,2175,349,104,37.4,533700,1902,0,0
