BUILD_YR,sale_year,SALE_PRICE,PARCEL_ARE,TAX_TOT,TOTAL_MV1,apn,licenseNum,tier,licensedUn,eviction_count,own_same_zip,LLORD_in_MPLS,latitude_1,longitude_,yWebMerc_1,Shape_Area
1959,2007,1484000,8217.56629,19730.06,1087000,0102824110014,LIC117644,1,14,1,0,1,44.94779,-93.22747,5613306.489,8.70413E-08
1959,1997,640000,8220.036742,19730.06,1087000,0102824110015,LIC323865,1,14,1,0,1,44.94762,-93.22747,5613278.692,8.70674E-08
1970,2007,73987,10962.61639,16262.7,896000,0102824110025,LIC111440,1,12,2,0,1,44.94753,-93.22801,5613264.753,1.16117E-07
1910,2017,182000,6743.295065,3993.06,220000,0102824110052,LIC357660,3,3,1,0,1,44.94703,-93.23034,5613186.886,7.14247E-08
1965, ,0,15137.21981,27861.42,1535000,0102824110080,LIC143651,1,17,2,0,1,44.9452,-93.22954,5612898.028,1.60328E-07
1961,2006,1300000,15682.4989,32380.44,1734500,0102824110113,LIC114926,3,26,6,0,0,44.94772,-93.23046,5613294.156,1.66111E-07
2003, ,0,28553.33409,38330.68,842600,0102824110130,LIC129907,1,24,1,0,1,44.94793,-93.23135,5613327.963,3.02441E-07
1965,2014,1017000,15002.651,26737.48,1411000,0102824120051,LIC229435,2,18,2,0,1,44.94606,-93.23312,5613034.288,1.58905E-07
1964,2007,73987,11220.32966,17161.46,945500,0102824140003,LIC112043,1,12,1,0,1,44.94452,-93.23041,5612792.196,1.1884E-07
1963,2013,474000,9005.551461,14498.82,761500,0102824140021,LIC147548,2,12,1,0,1,44.94374,-93.23143,5612668.315,9.53811E-08
1962,2013,580000,8567.706404,14910.82,821500,0102824210041,LIC133236,1,12,1,0,0,44.94583,-93.23942,5612998.178,9.07468E-08
1964, ,0,8569.148899,13975.76,770000,0102824210073,LIC193429,1,11,1,0,0,44.9457,-93.23845,5612976.523,9.07619E-08
2011,2010,678806,33176.74147,71523.8,6255000,0102824210121,LIC129670,1,45,1,0,1,44.94617,-93.23847,5613051.355,3.51402E-07
1962,2017,888000,12498.13664,17123.84,943000,0102824220029,LIC358913,1,12,1,0,1,44.94758,-93.24577,5613272.061,1.32381E-07
1922, ,0,4862.695379,4155.86,288000,0202824410088,LIC278935,1,1,1,1,1,44.93919,-93.25082,5611952.918,5.14986E-08
1915,2016,351000,5493.070321,4541.4,312000,0202824410163,LIC344809,1,1,1,1,1,44.94006,-93.24952,5612089.82,5.81753E-08
1971,2004,320000,5654.553601,9442.26,520000,0202824410181,LIC111866,2,5,2,1,1,44.93839,-93.24899,5611827.434,5.9884E-08
1962,2012,258000,6224.68894,8397.84,462500,0202824420006,LIC128546,1,6,1,1,1,44.94059,-93.25336,5612173.784,6.59241E-08
