BUILD_YR,sale_year,SALE_PRICE,PARCEL_ARE,TAX_TOT,TOTAL_MV1,licenseNum,tier,licensedUn,eviction_count,own_same_zip,LLORD_in_MPLS,POPTOTAL,LIVEDALONE,AGEUNDER18,WHITENH,BLACKNH,AMINDNH,ASIANNH,HISPPOP,AVGHHSIZE,HOMEOWNPCT,RENTEROCC,VACANT,MEDIANAGE
2014,2012,8050000,34095.79839,694246.24,34496200,LIC362108,1,313,2,1,1,9980,421,339,7260,744,46,1429,224,2.75,0.083,1647,56,20.3
1990,NA,0,104763.5935,35558.33,0,LIC205512,1,120,2,0,1,9980,421,339,7260,744,46,1429,224,2.75,0.083,1647,56,20.3
2011,2015,13550000,14720.71395,262361.42,13672600,LIC187656,1,65,1,1,1,9980,421,339,7260,744,46,1429,224,2.75,0.083,1647,56,20.3
2002,2018,69400000,114997.3683,1121256,61776000,LIC144852,2,278,2,1,1,9980,421,339,7260,744,46,1429,224,2.75,0.083,1647,56,20.3
2011,2017,13109000,20628.55014,223526.62,12150000,LIC373729,1,75,1,1,1,9980,421,339,7260,744,46,1429,224,2.75,0.083,1647,56,20.3
2002,2012,31000000,184707.6285,687383,37687000,LIC125342,2,164,8,1,1,9980,421,339,7260,744,46,1429,224,2.75,0.083,1647,56,20.3
2010,2015,26300000,32944.93038,483162.3,26620000,LIC129056,1,102,1,1,1,2232,364,10,1710,52,5,360,57,2.4,0.028,893,24,21.9
2013,2012,12975000,159859.3779,1887718.2,87626800,LIC150666,2,316,1,1,1,2232,364,10,1710,52,5,360,57,2.4,0.028,893,24,21.9
1973,2001,2310000,85198.69067,118701.32,878500,LIC134772,1,117,7,0,1,8094,1503,1354,3006,3645,41,882,277,2.06,0.084,2702,165,22.4
1973,1988,5225182,42126.71719,329675.6,1138400,LIC134979,1,408,2,0,1,8094,1503,1354,3006,3645,41,882,277,2.06,0.084,2702,165,22.4
1973,1988,3096818,127618.5314,290941.16,2618300,LIC130138,1,72,2,0,1,8094,1503,1354,3006,3645,41,882,277,2.06,0.084,2702,165,22.4
1973,1988,3417000,37534.94357,214331.08,2785800,LIC155366,1,224,2,0,1,8094,1503,1354,3006,3645,41,882,277,2.06,0.084,2702,165,22.4
1983,2000,15000000,146196.8224,450986.4,21394400,LIC281060,1,248,1,0,1,8094,1503,1354,3006,3645,41,882,277,2.06,0.084,2702,165,22.4
2000,2005,27992500,80455.65312,805390.64,38485000,LIC116256,1,186,1,0,0,8094,1503,1354,3006,3645,41,882,277,2.06,0.084,2702,165,22.4
1900,NA,0,7819.496531,6600.4,556000,LIC133950,1,1,1,1,1,8094,1503,1354,3006,3645,41,882,277,2.06,0.084,2702,165,22.4
1901,2008,13160,15451.92131,60060.62,970200,LIC111378,1,29,1,0,1,8094,1503,1354,3006,3645,41,882,277,2.06,0.084,2702,165,22.4
2002,2002,1193000,45157.64632,291888.46,11426900,LIC110534,1,123,2,0,1,4768,799,124,3506,184,29,673,255,2.16,0.072,1784,112,22.5
1911,NA,0,3763.369939,6325.06,348500,LIC158945,1,2,1,0,1,4768,799,124,3506,184,29,673,255,2.16,0.072,1784,112,22.5
1900,1984,159000,4761.98809,5771.8,318000,LIC307816,1,2,1,0,0,4768,799,124,3506,184,29,673,255,2.16,0.072,1784,112,22.5
1927,NA,0,66309.84487,148002.18,8001000,LIC113575,2,101,1,1,1,4768,799,124,3506,184,29,673,255,2.16,0.072,1784,112,22.5
1960,2007,1,27473.01238,65009.3,3517500,LIC176872,2,22,1,1,1,4768,799,124,3506,184,29,673,255,2.16,0.072,1784,112,22.5
2001,NA,0,44876.51641,168650.36,9221000,LIC108284,1,59,1,0,1,4768,799,124,3506,184,29,673,255,2.16,0.072,1784,112,22.5
2016,2016,3000000,74291.05853,389485.44,21320000,LIC368492,1,2,2,0,0,4768,799,124,3506,184,29,673,255,2.16,0.072,1784,112,22.5
1886,NA,0,40703.18788,60431.9,3329500,LIC117553,1,37,1,1,1,4768,799,124,3506,184,29,673,255,2.16,0.072,1784,112,22.5
1958,2004,782638,13925.70926,34276.58,1888500,LIC112507,1,24,1,0,0,4768,799,124,3506,184,29,673,255,2.16,0.072,1784,112,22.5
1956,2004,3625001,8052.693377,28432.18,1566500,LIC323636,1,21,1,0,0,4768,799,124,3506,184,29,673,255,2.16,0.072,1784,112,22.5
1962,2003,2118000,13736.50826,43206.56,2380500,LIC323578,1,24,2,0,0,4768,799,124,3506,184,29,673,255,2.16,0.072,1784,112,22.5
2002,2001,1500000,83278.56484,238480.26,9227500,LIC111484,1,98,7,0,1,4768,799,124,3506,184,29,673,255,2.16,0.072,1784,112,22.5
1907,2018,324800,2573.814443,3941.4,264000,LIC114732,1,1,1,1,1,4768,799,124,3506,184,29,673,255,2.16,0.072,1784,112,22.5
1900,2007,500,5631.881932,5647.4,279000,LIC249161,1,2,1,1,1,6489,592,697,4685,627,104,652,208,2.63,0.278,1781,176,22.8
1957,NA,0,7662.194374,3403.92,228000,LIC324893,1,1,1,0,0,6489,592,697,4685,627,104,652,208,2.63,0.278,1781,176,22.8
1922,2005,119600,5122.93264,4601.18,297500,LIC136704,1,1,1,1,1,6489,592,697,4685,627,104,652,208,2.63,0.278,1781,176,22.8
1960,2017,266000,4866.523305,2495.24,181500,LIC357635,1,1,1,0,0,6489,592,697,4685,627,104,652,208,2.63,0.278,1781,176,22.8
1909,2008,210000,5493.869944,2675.06,148500,LIC119125,1,1,1,1,1,6489,592,697,4685,627,104,652,208,2.63,0.278,1781,176,22.8
1964,1997,500600,21631.5897,34431.84,1897000,LIC241809,1,18,1,1,1,6489,592,697,4685,627,104,652,208,2.63,0.278,1781,176,22.8
1913,2010,435000,6300.807018,15081.04,433600,LIC120780,3,6,1,0,0,6489,592,697,4685,627,104,652,208,2.63,0.278,1781,176,22.8
1909,2012,100,5296.550006,5199.28,353000,LIC136380,1,1,1,1,1,6489,592,697,4685,627,104,652,208,2.63,0.278,1781,176,22.8
1921,NA,0,5290.109297,5707.94,314500,LIC324848,1,2,1,1,1,6489,592,697,4685,627,104,652,208,2.63,0.278,1781,176,22.8
0,1998,71000,5293.833592,4637.72,255500,LIC136406,1,2,1,1,1,6489,592,697,4685,627,104,652,208,2.63,0.278,1781,176,22.8
2008,2008,67650,29235.66556,77115.74,6887000,LIC120383,1,50,1,0,1,6489,592,697,4685,627,104,652,208,2.63,0.278,1781,176,22.8
1987,NA,0,28752.78735,49795.78,2743500,LIC164869,1,23,2,1,1,6489,592,697,4685,627,104,652,208,2.63,0.278,1781,176,22.8
1962,2008,3500000,14839.52687,31681.74,1745500,LIC156837,1,18,1,0,1,6489,592,697,4685,627,104,652,208,2.63,0.278,1781,176,22.8
1900,2010,47000,6692.840517,2483.12,135500,LIC131360,1,2,1,0,0,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1911,2010,100000,6774.498229,2589.36,128000,LIC124329,1,2,1,0,0,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1902,2012,42500,7744.498282,3305.14,164000,LIC134551,3,2,1,1,1,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1904,2000,104900,6901.664119,3589.68,145500,LIC249102,1,2,1,0,1,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1914,2014,35000,3996.686359,1877.1,92500,LIC131534,1,1,1,0,0,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1900,2014,37001,3925.017684,1459.08,85500,LIC158489,1,1,1,0,0,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1909,2008,27500,7845.634998,2283.14,112500,LIC126733,3,2,1,0,0,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1900,2018,74000,7816.595694,2205.4,94000,LIC373036,1,2,1,0,1,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1926,2015,250000,6018.315668,4655.22,256500,LIC271659,2,5,1,0,0,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1900,2013,50700,6745.613719,2577.34,142000,LIC128197,3,2,1,0,0,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1961,2013,200000,11769.10601,7977.38,439500,LIC183844,1,9,1,0,1,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1900,2015,45000,7845.435752,1478.02,99000,LIC132826,1,1,1,0,0,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1911,2006,219000,4991.830648,2858.98,157500,LIC141100,1,2,1,0,0,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1900,NA,0,7062.088549,2286.92,126000,LIC139418,2,1,1,0,1,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1900,2018,121000,7844.203881,1778.72,98000,LIC373355,1,2,1,0,1,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1916,2016,1900000,28237.0159,38388.62,2115000,LIC372811,1,25,3,0,0,1427,77,609,214,614,25,310,176,3.66,0.438,219,96,23.1
1974,1993,297700,38807.88184,10449.04,858500,LIC150314,1,10,1,0,0,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1911,2010,85000,7913.907641,2568.58,141500,LIC151533,1,2,1,0,0,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1911,2017,188150,6369.222409,2976.64,164000,LIC362142,3,2,1,0,0,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1915,2010,100,6008.84087,3881.66,67100,LIC145216,3,4,2,0,1,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1974,1993,534700,50001.38292,15094.46,1266500,LIC287749,3,6,1,0,0,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1974,1993,527300,38606.33517,15260.08,1210500,LIC345888,3,12,7,0,0,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1926,2011,12000,7949.058356,4001.8,220500,LIC122752,1,2,1,0,0,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
2003,2017,350000,5377.08148,4618.92,254500,LIC364723,1,3,1,0,0,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
2003,2017,350000,5376.27027,4618.92,254500,LIC364728,1,3,1,0,0,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1926,NA,0,10663.68251,8227.34,673000,LIC267104,3,14,3,0,1,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1926,NA,0,8003.887259,9066.4,499500,LIC149357,1,9,1,0,0,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1974,1993,534700,38597.1179,15094.24,1266500,LIC156979,3,6,3,0,0,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1917,1987,99832,5484.212547,4087.7,333500,LIC118451,1,4,1,0,1,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1926,NA,0,10971.14831,6606.32,590000,LIC113353,1,9,1,0,1,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1912,2015,91000,5047.761542,3602.5,198500,LIC139317,1,2,1,0,0,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1900,2008,55000,7908.34578,3657.6,201500,LIC118465,2,2,2,0,1,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1902,2013,49500,5340.842866,3585,197500,LIC279914,2,2,1,0,0,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1917,NA,0,5686.974482,3381.54,302000,LIC111556,3,4,1,0,1,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1915,2018,250000,8116.026116,6981.18,349000,LIC128703,3,4,1,0,1,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1921,NA,0,13176.26912,8275.36,739000,LIC111401,3,4,1,0,1,2138,126,831,163,1244,19,429,142,3.52,0.386,366,144,23.2
1883,2012,62400,5488.939511,1694.48,113500,LIC122748,1,1,1,0,0,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1900,2012,35000,3742.55581,2479.04,103500,LIC126176,2,2,1,0,1,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1914,2008,30000,5881.922113,6842.58,88500,LIC139779,3,1,2,0,0,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1964,2010,4270,7830.332133,3407.8,294500,LIC132806,1,7,1,0,1,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1900,2010,37000,7830.410659,3258.3,179500,LIC208988,1,2,1,0,0,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1900,2017,40000,5581.211248,1845.36,70500,LIC366736,1,1,2,0,0,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1907,2009,15000,12014.4287,1767.82,69000,LIC117619,2,1,1,1,1,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1900,2011,53000,7845.970945,2957.14,131500,LIC275012,3,2,1,0,1,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1885,2015,110617,4561.379459,2069.12,114000,LIC377030,2,1,1,1,1,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1925,2008,21000,5492.633399,1752.26,97000,LIC122275,3,2,2,0,0,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1910,2009,10000,6051.747271,1925.44,104000,LIC120414,3,2,1,0,1,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1900,2014,40000,6008.558627,2247.9,124500,LIC259701,2,2,1,0,1,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1900,2015,76000,5754.383622,2341.12,119000,LIC133166,3,2,1,0,0,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1906,2008,28000,6790.960517,1715.82,115500,LIC118148,1,1,1,0,0,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1908,2008,22000,7178.738087,1512.96,66000,LIC117618,1,1,1,1,1,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1920,2015,109000,5482.47058,2356.24,130500,LIC324635,1,2,1,1,1,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1900,2006,150800,5500.001373,2268.26,115500,LIC114722,1,2,1,1,1,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1938,2007,26000,5018.902008,1603.58,74000,LIC267991,1,1,1,1,1,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1909,2009,27508,6685.447609,2419.76,134000,LIC121721,1,2,1,0,0,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1900,2008,56000,6826.556771,2677.48,147500,LIC136203,2,2,1,0,0,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1900,2014,45000,9741.617359,2172.86,132500,LIC126251,1,1,1,0,1,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1910,2008,21335,6714.844469,1664.64,111500,LIC241428,1,1,1,0,0,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1900,2003,1,7076.75352,1790.34,65000,LIC129819,2,1,2,1,1,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1909,2017,51000,6700.891382,1888.58,126500,LIC358732,1,1,1,0,0,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
2014,NA,0,6952.754122,7061.96,610500,LIC138519,1,54,3,0,0,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1900,2015,26048,7261.400852,2150.48,118500,LIC126970,2,2,2,0,0,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
1900,2013,35000,5500.002172,2495.98,137500,LIC124178,1,2,1,0,0,2260,103,874,333,1107,53,450,179,3.67,0.459,324,193,24
2004,2003,1,165883.425,36649.5,0,LIC118290,3,3,5,1,1,2665,389,1039,250,1750,18,151,418,2.58,0.124,903,55,25
2004,NA,0,39563.17355,14331.24,0,LIC130453,2,1,2,1,1,2665,389,1039,250,1750,18,151,418,2.58,0.124,903,55,25
1972,2001,454000,124848.1079,100208.7,5521000,LIC135164,1,93,2,1,1,2665,389,1039,250,1750,18,151,418,2.58,0.124,903,55,25
2002,NA,0,91983.93314,21239.1,0,LIC133037,2,3,3,1,1,2665,389,1039,250,1750,18,151,418,2.58,0.124,903,55,25
2002,NA,0,131645.9544,28087.5,0,LIC110794,2,1,2,1,1,2665,389,1039,250,1750,18,151,418,2.58,0.124,903,55,25
2006,NA,0,95642.21142,21148.76,0,LIC133345,1,2,1,0,1,2665,389,1039,250,1750,18,151,418,2.58,0.124,903,55,25
1917,2014,77000,4983.328098,1589.98,106500,LIC128515,1,1,1,0,0,2437,285,905,392,1208,34,452,183,3.09,0.294,557,158,25.4
1909,2015,181500,8721.422453,3123.38,172500,LIC155757,3,3,1,0,0,2437,285,905,392,1208,34,452,183,3.09,0.294,557,158,25.4
1923,2004,135000,4985.021248,1811.28,99500,LIC121668,2,1,1,0,1,2437,285,905,392,1208,34,452,183,3.09,0.294,557,158,25.4
1908,2017,90000,5046.834464,1709.42,114500,LIC362053,1,1,1,0,0,2437,285,905,392,1208,34,452,183,3.09,0.294,557,158,25.4
1900,2002,54000,5046.568526,1697.36,93500,LIC108499,1,2,1,0,0,2437,285,905,392,1208,34,452,183,3.09,0.294,557,158,25.4
1900,2008,16000,5049.64789,1770.3,91000,LIC173150,1,1,1,0,0,2437,285,905,392,1208,34,452,183,3.09,0.294,557,158,25.4
1900,2008,22500,5049.476538,2096.66,115500,LIC121563,1,2,1,0,1,2437,285,905,392,1208,34,452,183,3.09,0.294,557,158,25.4
1913,2016,200000,4244.703845,1665.08,99000,LIC132743,3,1,1,0,1,2437,285,905,392,1208,34,452,183,3.09,0.294,557,158,25.4
2002,2002,5000,5049.888664,1709.42,114500,LIC125900,1,1,1,0,0,2437,285,905,392,1208,34,452,183,3.09,0.294,557,158,25.4
1914,2008,59500,5050.682051,2611.6,135500,LIC220153,2,2,1,0,1,2437,285,905,392,1208,34,452,183,3.09,0.294,557,158,25.4
1900,2006,94000,5051.06132,2895.3,159500,LIC122329,1,3,2,0,0,2437,285,905,392,1208,34,452,183,3.09,0.294,557,158,25.4
1900,2003,1,5050.9796,1448.16,97000,LIC268409,3,1,1,1,1,2437,285,905,392,1208,34,452,183,3.09,0.294,557,158,25.4
1924,2014,100150,4923.458577,1701.96,114000,LIC135734,1,1,1,0,0,2437,285,905,392,1208,34,452,183,3.09,0.294,557,158,25.4
1903,2014,135000,4578.063241,2032.82,112000,LIC145448,1,2,1,0,0,2437,285,905,392,1208,34,452,183,3.09,0.294,557,158,25.4
